,Age
6,54.0
27,19.0
54,65.0
62,45.0
75,25.0
92,46.0
96,71.0
102,21.0
110,47.0
118,24.0
124,54.0
137,37.0
139,24.0
148,36.5
170,61.0
174,56.0
177,50.0
205,2.0
245,44.0
251,29.0
252,62.0
262,52.0
263,40.0
273,37.0
292,36.0
297,2.0
331,45.5
332,38.0
336,29.0
339,45.0
377,27.0
434,50.0
438,64.0
452,30.0
456,65.0
462,47.0
487,58.0
492,55.0
498,25.0
505,18.0
515,47.0
536,45.0
544,50.0
583,36.0
625,61.0
659,58.0
662,47.0
671,31.0
698,49.0
699,42.0
715,19.0
741,36.0
745,70.0
748,19.0
772,57.0
782,29.0
789,46.0
806,39.0
867,31.0
872,33.0
